cpu(%)       	iowait(%)    	mem(MB/s)    	disk_w(MB/s) 	disk_r(MB/s) 	disk_tot(MB/s)	net_r(Mbps)  	net_s(Mbps)  	net_tot(Mbps)
4.42         	0.00         	355.78       	0.00         	0.00         	0.00         	48.48        	27.07        	75.54        
4.46         	0.00         	369.97       	0.00         	0.00         	0.00         	48.51        	27.05        	75.56        
4.46         	0.00         	394.15       	0.01         	0.00         	0.01         	48.32        	26.94        	75.25        
4.34         	0.00         	389.03       	0.02         	0.00         	0.02         	48.40        	27.01        	75.40        
4.26         	0.08         	385.57       	0.00         	0.00         	0.00         	48.30        	26.93        	75.23        
4.34         	0.00         	362.83       	0.00         	0.00         	0.00         	48.59        	27.09        	75.68        
4.49         	0.00         	376.09       	0.00         	0.00         	0.00         	48.82        	27.23        	76.05        
4.40         	0.00         	385.91       	0.01         	0.00         	0.01         	48.31        	26.95        	75.27        
4.43         	0.00         	389.68       	0.02         	0.00         	0.02         	48.69        	27.15        	75.84        
4.50         	0.08         	391.00       	0.00         	0.00         	0.00         	48.33        	26.96        	75.29        
4.42         	0.00         	387.97       	0.00         	0.00         	0.00         	48.34        	26.96        	75.30        
4.41         	0.00         	389.56       	0.00         	0.00         	0.00         	48.72        	27.18        	75.90        
4.56         	0.00         	387.15       	0.02         	0.00         	0.02         	48.39        	26.97        	75.36        
4.23         	0.12         	393.88       	0.02         	0.00         	0.02         	48.65        	27.13        	75.78        
4.42         	0.00         	379.31       	0.00         	0.00         	0.00         	48.47        	27.04        	75.52        
4.64         	0.00         	385.53       	0.00         	0.00         	0.00         	48.53        	27.06        	75.58        
4.55         	0.00         	390.11       	0.00         	0.00         	0.00         	48.45        	27.02        	75.47        
4.51         	0.00         	390.64       	0.01         	0.00         	0.01         	48.30        	26.94        	75.24        
4.38         	0.00         	387.90       	0.02         	0.00         	0.02         	48.27        	26.90        	75.17        
4.48         	0.04         	389.57       	0.00         	0.00         	0.00         	48.72        	27.15        	75.87        
4.41         	0.00         	375.87       	0.00         	0.00         	0.00         	48.44        	27.01        	75.45        
4.38         	0.00         	394.80       	0.00         	0.00         	0.00         	48.64        	27.13        	75.77        
4.44         	0.00         	386.44       	0.02         	0.00         	0.02         	48.42        	27.02        	75.44        
4.41         	0.08         	377.30       	0.04         	0.00         	0.04         	48.34        	26.98        	75.32        
4.33         	0.00         	378.24       	0.00         	0.00         	0.00         	48.45        	27.02        	75.47        
4.45         	0.00         	392.15       	0.00         	0.00         	0.00         	48.43        	27.02        	75.45        
4.49         	0.00         	386.95       	0.00         	0.00         	0.00         	48.55        	27.08        	75.63        
4.78         	0.00         	380.19       	0.03         	0.00         	0.03         	48.33        	26.97        	75.31        
4.44         	0.00         	382.28       	0.01         	0.00         	0.01         	48.34        	26.94        	75.29        
4.32         	0.08         	373.79       	0.00         	0.00         	0.00         	48.39        	27.00        	75.38        
4.11         	0.00         	359.88       	0.00         	0.00         	0.00         	48.30        	26.95        	75.25        
4.42         	0.00         	377.36       	0.00         	0.00         	0.00         	48.50        	27.04        	75.54        
4.46         	0.00         	384.47       	0.01         	0.00         	0.01         	48.58        	27.11        	75.68        
4.51         	0.08         	388.05       	0.03         	0.00         	0.03         	48.09        	26.83        	74.93        
4.31         	0.00         	388.82       	0.00         	0.00         	0.00         	48.17        	26.87        	75.04        
4.47         	0.00         	390.87       	0.00         	0.00         	0.00         	48.26        	26.93        	75.18        
4.35         	0.00         	387.68       	0.00         	0.00         	0.00         	48.87        	27.26        	76.13        
4.56         	0.00         	390.13       	0.02         	0.00         	0.02         	48.15        	26.87        	75.02        
4.41         	0.08         	373.99       	0.02         	0.00         	0.02         	48.01        	26.75        	74.76        
4.43         	-0.04        	380.76       	0.00         	0.00         	0.00         	48.50        	27.06        	75.56        
4.57         	0.00         	391.87       	0.00         	0.00         	0.00         	48.83        	27.19        	76.01        
4.39         	0.00         	372.92       	0.00         	0.00         	0.00         	48.28        	26.92        	75.19        
4.45         	0.00         	344.85       	0.01         	0.00         	0.01         	48.33        	26.93        	75.27        
4.40         	0.08         	381.86       	0.03         	0.00         	0.03         	48.25        	26.90        	75.15        
4.51         	0.00         	360.16       	0.00         	0.00         	0.00         	48.43        	26.99        	75.43        
4.32         	0.00         	376.40       	0.00         	0.00         	0.00         	48.50        	27.03        	75.53        
4.52         	0.00         	375.36       	0.00         	0.00         	0.00         	48.23        	26.90        	75.14        
4.35         	0.00         	369.47       	0.02         	0.00         	0.02         	48.35        	26.96        	75.31        
4.56         	0.04         	394.30       	0.04         	0.00         	0.04         	48.23        	26.90        	75.13        
4.37         	0.04         	395.75       	0.00         	0.00         	0.00         	48.74        	27.18        	75.92        
4.52         	0.00         	392.17       	0.00         	0.00         	0.00         	48.76        	27.22        	75.98        
4.44         	0.00         	381.38       	0.00         	0.00         	0.00         	48.45        	27.01        	75.46        
4.60         	0.00         	390.13       	0.03         	0.00         	0.03         	48.38        	26.99        	75.37        
4.23         	0.00         	373.74       	0.02         	0.00         	0.02         	48.28        	26.95        	75.23        
4.56         	0.04         	376.21       	0.00         	0.00         	0.00         	48.70        	27.18        	75.88        
4.60         	0.00         	395.64       	0.00         	0.00         	0.00         	48.35        	26.97        	75.32        
4.50         	0.00         	375.79       	0.00         	0.00         	0.00         	48.15        	26.86        	75.02        
4.27         	0.00         	384.42       	0.02         	0.00         	0.02         	48.65        	27.13        	75.78        
4.26         	0.08         	378.66       	0.03         	0.00         	0.03         	48.52        	27.07        	75.59        
4.17         	0.00         	375.06       	0.00         	0.00         	0.00         	48.38        	26.98        	75.36        
4.26         	0.00         	397.50       	0.00         	0.00         	0.00         	49.10        	27.38        	76.48        
4.35         	0.00         	377.51       	0.00         	0.00         	0.00         	48.39        	26.98        	75.36        
4.61         	0.00         	385.89       	0.01         	0.00         	0.01         	48.22        	26.88        	75.10        
4.34         	0.00         	389.36       	0.02         	0.00         	0.02         	48.36        	26.97        	75.33        
4.51         	0.04         	385.47       	0.00         	0.00         	0.00         	48.45        	27.01        	75.46        
4.53         	0.00         	358.70       	0.00         	0.00         	0.00         	48.51        	27.07        	75.58        
4.37         	0.00         	366.52       	0.00         	0.00         	0.00         	48.36        	26.98        	75.34        
4.41         	0.00         	366.11       	0.02         	0.00         	0.02         	48.39        	26.99        	75.38        
4.52         	0.08         	382.99       	0.02         	0.00         	0.02         	48.51        	27.02        	75.53        
4.56         	0.00         	377.20       	0.00         	0.00         	0.00         	48.50        	27.04        	75.54        
4.43         	0.00         	369.68       	0.00         	0.00         	0.00         	48.34        	26.95        	75.29        
4.63         	0.00         	391.33       	0.00         	0.00         	0.00         	48.41        	26.99        	75.40        
4.43         	0.00         	390.10       	0.01         	0.00         	0.01         	48.41        	27.00        	75.41        
4.27         	0.00         	377.39       	0.02         	0.00         	0.02         	48.51        	27.05        	75.56        
4.51         	0.08         	359.03       	0.00         	0.00         	0.00         	48.75        	27.19        	75.95        
4.49         	0.00         	392.43       	0.00         	0.00         	0.00         	48.27        	26.92        	75.19        
4.46         	0.00         	383.19       	0.00         	0.00         	0.00         	48.38        	27.00        	75.38        
4.45         	0.00         	398.17       	0.02         	0.00         	0.02         	48.12        	26.84        	74.96        
4.40         	0.08         	389.12       	0.02         	0.00         	0.02         	48.63        	27.11        	75.74        
4.46         	0.00         	364.79       	0.00         	0.00         	0.00         	48.32        	26.94        	75.27        
4.46         	0.00         	370.01       	0.00         	0.00         	0.00         	48.63        	27.11        	75.74        
4.41         	0.00         	399.18       	0.00         	0.00         	0.00         	48.72        	27.18        	75.90        
4.42         	0.00         	375.29       	0.01         	0.00         	0.01         	48.68        	27.14        	75.81        
4.54         	0.00         	379.95       	0.02         	0.00         	0.02         	48.42        	26.99        	75.41        
4.24         	0.04         	360.80       	0.00         	0.00         	0.00         	48.30        	26.94        	75.25        
4.34         	0.00         	381.83       	0.00         	0.00         	0.00         	48.46        	27.03        	75.49        
4.43         	0.00         	387.31       	0.00         	0.00         	0.00         	48.43        	27.02        	75.45        
4.38         	0.00         	370.35       	0.02         	0.00         	0.02         	48.74        	27.17        	75.91        
4.36         	0.00         	378.24       	0.04         	0.00         	0.04         	48.48        	27.00        	75.49        
4.46         	0.04         	388.19       	0.00         	0.00         	0.00         	48.67        	27.13        	75.80        
4.51         	0.00         	390.47       	0.00         	0.00         	0.00         	48.36        	26.97        	75.32        
4.32         	0.00         	390.06       	0.00         	0.00         	0.00         	48.71        	27.16        	75.87        
4.35         	0.00         	357.75       	0.03         	0.00         	0.03         	48.04        	26.81        	74.85        
4.36         	0.12         	384.33       	0.02         	0.00         	0.02         	48.63        	27.14        	75.77        
4.47         	0.00         	387.89       	0.00         	0.00         	0.00         	48.23        	26.90        	75.13        
4.39         	0.00         	384.64       	0.00         	0.00         	0.00         	48.15        	26.86        	75.01        
4.60         	0.00         	389.06       	0.00         	0.00         	0.00         	48.33        	26.93        	75.26        
4.47         	0.00         	390.47       	0.01         	0.00         	0.01         	48.42        	27.01        	75.43        
4.45         	0.00         	395.68       	0.02         	0.00         	0.02         	48.53        	27.05        	75.58        
4.53         	0.04         	384.93       	0.00         	0.00         	0.00         	48.55        	27.08        	75.63        
4.42         	0.00         	394.33       	0.00         	0.00         	0.00         	48.40        	26.99        	75.39        
4.37         	0.00         	387.20       	0.00         	0.00         	0.00         	48.17        	26.86        	75.03        
4.24         	0.00         	385.68       	0.01         	0.00         	0.01         	48.47        	27.05        	75.52        
4.48         	0.08         	381.15       	0.03         	0.00         	0.03         	48.30        	26.92        	75.21        
4.21         	0.00         	392.57       	0.00         	0.00         	0.00         	48.33        	26.97        	75.30        
4.50         	0.00         	389.34       	0.00         	0.00         	0.00         	48.78        	27.20        	75.98        
4.19         	0.00         	381.53       	0.00         	0.00         	0.00         	48.22        	26.88        	75.10        
4.25         	0.00         	391.57       	0.02         	0.00         	0.02         	48.38        	26.96        	75.34        
4.25         	0.00         	383.84       	0.02         	0.00         	0.02         	48.22        	26.89        	75.12        
4.45         	0.04         	382.32       	0.00         	0.00         	0.00         	48.47        	27.02        	75.50        
4.38         	0.00         	375.60       	0.00         	0.00         	0.00         	48.55        	27.08        	75.62        
4.49         	0.00         	417.40       	0.00         	0.00         	0.00         	48.99        	27.37        	76.35        
4.47         	0.00         	377.75       	0.02         	0.00         	0.02         	48.00        	26.77        	74.78        
4.33         	0.08         	390.65       	0.03         	0.00         	0.03         	48.48        	27.06        	75.55        
4.43         	0.00         	394.22       	0.00         	0.00         	0.00         	48.45        	27.02        	75.46        
4.56         	0.00         	401.93       	0.00         	0.00         	0.00         	48.48        	27.04        	75.52        
4.49         	0.00         	389.42       	0.00         	0.00         	0.00         	48.61        	27.08        	75.69        
4.38         	0.00         	368.26       	0.02         	0.00         	0.02         	48.35        	26.97        	75.32        
4.39         	0.04         	382.39       	0.02         	0.00         	0.02         	48.27        	26.90        	75.17        
4.33         	0.04         	387.00       	0.00         	0.00         	0.00         	48.11        	26.83        	74.93        
4.52         	0.00         	372.05       	0.00         	0.00         	0.00         	48.57        	27.09        	75.66        
4.49         	0.00         	380.32       	0.00         	0.00         	0.00         	48.49        	27.04        	75.53        
4.47         	0.00         	390.89       	0.02         	0.00         	0.02         	48.74        	27.20        	75.94        
4.36         	0.08         	377.27       	0.03         	0.00         	0.03         	48.60        	27.12        	75.72        
4.48         	0.00         	391.44       	0.00         	0.00         	0.00         	48.53        	27.07        	75.60        
4.46         	0.00         	375.34       	0.00         	0.00         	0.00         	48.36        	26.96        	75.33        
4.34         	0.00         	362.95       	0.00         	0.00         	0.00         	48.33        	26.95        	75.27        
4.39         	0.00         	392.16       	0.01         	0.00         	0.01         	48.43        	27.00        	75.43        
4.44         	0.08         	391.19       	0.03         	0.00         	0.03         	48.61        	27.09        	75.70        
4.44         	0.00         	381.34       	0.00         	0.00         	0.00         	48.47        	27.04        	75.51        
4.55         	0.00         	385.81       	0.00         	0.00         	0.00         	48.84        	27.23        	76.08        
4.59         	0.00         	395.75       	0.00         	0.00         	0.00         	48.51        	27.04        	75.55        
4.44         	0.00         	389.22       	0.02         	0.00         	0.02         	48.27        	26.93        	75.20        
4.28         	0.00         	381.14       	0.01         	0.00         	0.01         	48.22        	26.89        	75.11        
4.48         	0.08         	392.56       	0.00         	0.00         	0.00         	48.12        	26.83        	74.95        
4.52         	0.00         	388.69       	0.00         	0.00         	0.00         	48.13        	26.86        	74.99        
4.57         	0.00         	373.83       	0.00         	0.00         	0.00         	48.62        	27.10        	75.72        
4.57         	0.00         	359.14       	0.01         	0.00         	0.01         	48.45        	26.99        	75.44        
4.41         	0.04         	377.52       	0.03         	0.00         	0.03         	47.93        	26.72        	74.65        
4.44         	0.00         	384.25       	0.00         	0.00         	0.00         	48.22        	26.88        	75.10        
4.40         	0.00         	378.75       	0.00         	0.00         	0.00         	48.70        	27.15        	75.85        
4.36         	0.00         	378.97       	0.00         	0.00         	0.00         	48.43        	27.00        	75.43        
4.46         	0.00         	378.93       	0.01         	0.00         	0.01         	48.39        	27.00        	75.39        
4.39         	0.04         	387.57       	0.02         	0.00         	0.02         	48.21        	26.88        	75.09        
4.30         	0.04         	396.23       	0.00         	0.00         	0.00         	48.74        	27.18        	75.92        
4.53         	0.00         	365.33       	0.00         	0.00         	0.00         	48.46        	27.01        	75.47        
4.44         	0.00         	388.45       	0.00         	0.00         	0.00         	48.45        	27.01        	75.46        
4.42         	0.00         	379.03       	0.02         	0.00         	0.02         	48.41        	26.99        	75.40        
4.47         	0.11         	355.29       	0.02         	0.00         	0.02         	48.81        	27.20        	76.01        
4.43         	0.00         	372.74       	0.00         	0.00         	0.00         	48.55        	27.06        	75.61        
4.47         	0.00         	381.16       	0.00         	0.00         	0.00         	48.86        	27.23        	76.09        
4.23         	0.00         	350.56       	0.00         	0.00         	0.00         	48.49        	27.04        	75.53        
4.45         	0.00         	378.48       	0.02         	0.00         	0.02         	48.40        	26.99        	75.39        
4.37         	0.00         	384.88       	0.04         	0.00         	0.04         	48.53        	27.06        	75.59        
4.47         	0.04         	386.61       	0.00         	0.00         	0.00         	48.60        	27.11        	75.70        
4.31         	0.00         	371.38       	0.00         	0.00         	0.00         	48.63        	27.09        	75.72        
4.54         	0.00         	393.16       	0.00         	0.00         	0.00         	48.28        	26.89        	75.17        
4.40         	0.00         	380.28       	0.03         	0.00         	0.03         	48.91        	27.24        	76.15        
4.46         	0.08         	371.51       	0.02         	0.00         	0.02         	48.98        	27.30        	76.27        
4.46         	0.00         	393.71       	0.00         	0.00         	0.00         	48.72        	27.15        	75.87        
4.44         	0.00         	361.13       	0.00         	0.00         	0.00         	48.41        	26.99        	75.40        
4.31         	0.00         	385.56       	0.00         	0.00         	0.00         	48.73        	27.19        	75.92        
4.43         	0.00         	382.12       	0.02         	0.00         	0.02         	48.12        	26.83        	74.94        
4.44         	0.00         	390.68       	0.04         	0.00         	0.04         	48.27        	26.93        	75.20        
4.30         	0.08         	390.64       	0.00         	0.00         	0.00         	48.25        	26.91        	75.16        
4.36         	0.00         	374.50       	0.00         	0.00         	0.00         	48.50        	27.05        	75.55        
4.53         	0.00         	382.22       	0.00         	0.00         	0.00         	48.37        	26.96        	75.33        
4.35         	0.00         	377.30       	0.02         	0.00         	0.02         	48.04        	26.79        	74.83        
4.62         	0.00         	385.22       	0.02         	0.00         	0.02         	48.06        	26.78        	74.84        
4.67         	0.04         	402.88       	0.00         	0.00         	0.00         	48.27        	26.91        	75.18        
4.52         	0.00         	393.73       	0.00         	0.00         	0.00         	48.61        	27.08        	75.68        
4.46         	0.00         	366.98       	0.00         	0.00         	0.00         	48.60        	27.10        	75.69        
4.39         	0.00         	378.71       	0.02         	0.00         	0.02         	48.56        	27.09        	75.65        
4.52         	0.08         	384.17       	0.02         	0.00         	0.02         	48.31        	26.94        	75.25        
4.55         	0.00         	397.51       	0.00         	0.00         	0.00         	48.86        	27.23        	76.09        
4.45         	0.00         	379.79       	0.00         	0.00         	0.00         	48.40        	26.96        	75.36        
4.54         	0.00         	395.63       	0.00         	0.00         	0.00         	48.07        	26.78        	74.85        
4.26         	0.00         	373.84       	0.01         	0.00         	0.01         	48.53        	27.06        	75.59        
4.12         	0.04         	382.12       	0.02         	0.00         	0.02         	48.00        	26.77        	74.77        
4.34         	0.08         	385.15       	0.00         	0.00         	0.00         	48.83        	27.22        	76.06        
4.43         	0.00         	390.06       	0.00         	0.00         	0.00         	48.45        	27.03        	75.48        
4.45         	0.00         	392.05       	0.00         	0.00         	0.00         	48.22        	26.89        	75.10        
4.53         	0.00         	394.87       	0.02         	0.00         	0.02         	48.74        	27.17        	75.91        
4.43         	0.04         	364.07       	0.04         	0.00         	0.04         	48.15        	26.85        	75.00        
4.32         	0.00         	384.18       	0.00         	0.00         	0.00         	48.13        	26.83        	74.95        
4.37         	0.00         	381.60       	0.00         	0.00         	0.00         	48.33        	26.97        	75.30        
4.24         	0.00         	383.39       	0.00         	0.00         	0.00         	47.99        	26.75        	74.74        
4.45         	0.00         	394.35       	0.03         	0.00         	0.03         	48.40        	26.99        	75.39        
4.30         	0.04         	379.20       	0.01         	0.00         	0.01         	47.87        	26.69        	74.57        
4.29         	0.04         	377.55       	0.00         	0.00         	0.00         	48.43        	27.01        	75.44        
4.52         	0.00         	390.42       	0.00         	0.00         	0.00         	48.16        	26.83        	74.99        
4.41         	0.00         	364.74       	0.00         	0.00         	0.00         	48.20        	26.87        	75.07        
4.37         	0.00         	378.85       	0.01         	0.00         	0.01         	48.55        	27.09        	75.63        
4.34         	0.12         	388.86       	0.03         	0.00         	0.03         	48.67        	27.14        	75.81        
4.43         	0.00         	385.21       	0.00         	0.00         	0.00         	48.40        	26.99        	75.39        
4.39         	0.00         	379.98       	0.00         	0.00         	0.00         	48.42        	26.97        	75.39        
4.35         	0.00         	373.71       	0.00         	0.00         	0.00         	48.81        	27.22        	76.03        
4.60         	0.00         	386.13       	0.02         	0.00         	0.02         	47.92        	26.72        	74.64        
4.43         	0.04         	377.87       	0.02         	0.00         	0.02         	48.36        	26.97        	75.33        
4.55         	0.00         	375.99       	0.00         	0.00         	0.00         	48.50        	27.06        	75.56        
4.52         	0.00         	376.00       	0.00         	0.00         	0.00         	48.13        	26.84        	74.97        
4.55         	0.00         	377.17       	0.00         	0.00         	0.00         	48.25        	26.91        	75.16        
4.36         	0.00         	378.13       	0.01         	0.00         	0.01         	48.23        	26.90        	75.13        
4.44         	0.00         	387.66       	0.02         	0.00         	0.02         	48.03        	26.77        	74.80        
4.53         	0.00         	378.22       	0.00         	0.00         	0.00         	48.39        	26.99        	75.38        
4.59         	0.00         	366.13       	0.00         	0.00         	0.00         	48.63        	27.11        	75.74        
4.45         	0.00         	381.35       	0.00         	0.00         	0.00         	48.71        	27.17        	75.89        
4.43         	0.00         	387.64       	0.01         	0.00         	0.01         	48.10        	26.84        	74.94        
4.38         	0.08         	383.46       	0.03         	0.00         	0.03         	48.56        	27.07        	75.64        
4.52         	0.00         	391.52       	0.00         	0.00         	0.00         	48.45        	27.02        	75.47        
4.50         	0.00         	391.49       	0.00         	0.00         	0.00         	48.50        	27.06        	75.56        
4.50         	0.00         	372.70       	0.00         	0.00         	0.00         	48.33        	26.96        	75.29        
4.52         	0.00         	370.83       	0.02         	0.00         	0.02         	48.36        	26.99        	75.35        
4.46         	0.00         	381.80       	0.01         	0.00         	0.01         	48.19        	26.88        	75.07        
4.55         	0.04         	392.29       	0.00         	0.00         	0.00         	48.24        	26.93        	75.17        
4.38         	0.00         	377.41       	0.00         	0.00         	0.00         	48.45        	27.03        	75.48        
4.42         	0.00         	391.14       	0.00         	0.00         	0.00         	48.67        	27.12        	75.79        
4.45         	0.00         	394.40       	0.02         	0.00         	0.02         	48.38        	26.99        	75.36        
4.19         	0.00         	375.20       	0.03         	0.00         	0.03         	48.36        	26.96        	75.32        
4.48         	0.04         	381.16       	0.00         	0.00         	0.00         	48.40        	27.00        	75.40        
4.36         	0.00         	382.83       	0.00         	0.00         	0.00         	48.41        	27.00        	75.41        
4.40         	0.00         	391.19       	0.00         	0.00         	0.00         	48.54        	27.07        	75.62        
4.61         	0.00         	385.45       	0.02         	0.00         	0.02         	48.31        	26.95        	75.26        
4.50         	0.12         	390.68       	0.04         	0.00         	0.04         	48.27        	26.92        	75.19        
4.35         	0.00         	381.08       	0.00         	0.00         	0.00         	48.49        	27.02        	75.50        
4.23         	0.00         	394.13       	0.00         	0.00         	0.00         	48.60        	27.09        	75.69        
4.30         	0.00         	378.52       	0.00         	0.00         	0.00         	48.13        	26.85        	74.98        
4.52         	0.00         	377.97       	0.03         	0.00         	0.03         	48.53        	27.07        	75.60        
4.39         	0.00         	377.66       	0.01         	0.00         	0.01         	48.41        	26.99        	75.41        
4.38         	0.08         	369.33       	0.00         	0.00         	0.00         	48.33        	26.98        	75.31        
4.49         	0.00         	361.77       	0.00         	0.00         	0.00         	48.41        	27.02        	75.43        
4.58         	0.00         	382.54       	0.00         	0.00         	0.00         	48.39        	27.00        	75.40        
4.40         	0.00         	379.28       	0.01         	0.00         	0.01         	48.41        	26.99        	75.40        
4.34         	0.00         	384.54       	0.02         	0.00         	0.02         	48.29        	26.97        	75.26        
4.45         	0.08         	374.89       	0.00         	0.00         	0.00         	48.02        	26.79        	74.82        
4.45         	0.00         	383.15       	0.00         	0.00         	0.00         	48.23        	26.89        	75.12        
4.39         	0.00         	391.18       	0.00         	0.00         	0.00         	48.32        	26.94        	75.26        
4.47         	0.00         	384.56       	0.02         	0.00         	0.02         	48.47        	27.04        	75.51        
4.45         	0.00         	393.41       	0.01         	0.00         	0.01         	48.42        	27.01        	75.44        
4.47         	0.04         	378.93       	0.00         	0.00         	0.00         	48.47        	27.04        	75.52        
4.37         	0.00         	378.12       	0.00         	0.00         	0.00         	48.42        	27.01        	75.44        
4.55         	0.00         	389.68       	0.00         	0.00         	0.00         	47.78        	26.68        	74.46        
4.40         	0.00         	373.01       	0.01         	0.00         	0.01         	48.16        	26.83        	75.00        
4.43         	0.08         	394.58       	0.03         	0.00         	0.03         	48.32        	26.95        	75.27        
4.29         	0.00         	386.43       	0.00         	0.00         	0.00         	48.47        	27.03        	75.50        
4.29         	0.00         	388.81       	0.00         	0.00         	0.00         	48.23        	26.92        	75.16        
4.40         	0.00         	388.50       	0.00         	0.00         	0.00         	48.73        	27.17        	75.90        
4.32         	0.00         	396.66       	0.02         	0.00         	0.02         	48.49        	27.06        	75.55        
4.54         	0.00         	388.70       	0.03         	0.00         	0.03         	48.30        	26.95        	75.25        
4.49         	0.04         	370.13       	0.00         	0.00         	0.00         	48.68        	27.16        	75.83        
4.45         	0.00         	377.84       	0.00         	0.00         	0.00         	48.33        	26.98        	75.31        
4.44         	0.00         	389.83       	0.00         	0.00         	0.00         	48.42        	27.02        	75.45        
4.28         	0.00         	394.76       	0.02         	0.00         	0.02         	48.35        	26.97        	75.32        
4.36         	0.08         	391.67       	0.02         	0.00         	0.02         	48.59        	27.10        	75.69        
4.44         	0.00         	387.10       	0.00         	0.00         	0.00         	48.17        	26.86        	75.03        
4.31         	0.00         	384.82       	0.00         	0.00         	0.00         	48.24        	26.90        	75.15        
4.36         	0.00         	391.95       	0.00         	0.00         	0.00         	48.50        	27.07        	75.57        
4.33         	0.00         	388.89       	0.01         	0.00         	0.01         	48.33        	26.94        	75.27        
4.47         	0.00         	387.02       	0.02         	0.00         	0.02         	48.32        	26.95        	75.27        
4.51         	0.04         	381.96       	0.00         	0.00         	0.00         	48.32        	26.95        	75.27        
4.39         	0.00         	387.04       	0.00         	0.00         	0.00         	48.12        	26.83        	74.95        
4.31         	0.00         	379.14       	0.00         	0.00         	0.00         	48.36        	26.97        	75.33        
4.39         	0.00         	390.24       	0.01         	0.00         	0.01         	48.81        	27.22        	76.03        
4.20         	0.08         	378.10       	0.03         	0.00         	0.03         	48.71        	27.17        	75.88        
4.39         	0.00         	384.00       	0.00         	0.00         	0.00         	48.62        	27.09        	75.71        
4.37         	0.00         	381.00       	0.00         	0.00         	0.00         	48.45        	27.04        	75.50        
4.55         	0.00         	381.77       	0.00         	0.00         	0.00         	48.16        	26.88        	75.04        
4.41         	0.00         	381.23       	0.02         	0.00         	0.02         	48.84        	27.25        	76.09        
4.35         	0.08         	387.15       	0.02         	0.00         	0.02         	48.28        	26.93        	75.21        
4.37         	0.00         	367.73       	0.00         	0.00         	0.00         	48.57        	27.09        	75.66        
4.44         	0.00         	380.21       	0.00         	0.00         	0.00         	48.23        	26.89        	75.12        
4.45         	0.00         	367.21       	0.00         	0.00         	0.00         	48.46        	27.04        	75.51        
4.51         	0.00         	391.59       	0.01         	0.00         	0.01         	48.71        	27.16        	75.87        
4.52         	0.04         	385.23       	0.02         	0.00         	0.02         	48.11        	26.82        	74.93        
4.25         	0.08         	376.77       	0.00         	0.00         	0.00         	48.09        	26.81        	74.90        
4.19         	0.00         	371.47       	0.00         	0.00         	0.00         	48.51        	27.08        	75.59        
4.32         	0.00         	376.07       	0.00         	0.00         	0.00         	48.24        	26.90        	75.15        
4.75         	0.00         	416.68       	0.02         	0.00         	0.02         	48.39        	27.03        	75.43        
4.34         	0.04         	380.03       	0.02         	0.00         	0.02         	48.22        	26.89        	75.11        
4.40         	0.00         	392.18       	0.00         	0.00         	0.00         	48.67        	27.15        	75.82        
4.22         	0.00         	372.45       	0.00         	0.00         	0.00         	48.47        	27.04        	75.51        
4.31         	0.00         	388.19       	0.00         	0.00         	0.00         	48.57        	27.09        	75.66        
4.58         	0.00         	383.10       	0.02         	0.00         	0.02         	48.61        	27.11        	75.72        
4.41         	0.00         	391.95       	0.04         	0.00         	0.04         	48.58        	27.12        	75.69        
4.52         	0.04         	395.85       	0.00         	0.00         	0.00         	48.37        	26.98        	75.34        
4.43         	0.00         	388.45       	0.00         	0.00         	0.00         	48.09        	26.80        	74.89        
4.22         	0.00         	379.21       	0.00         	0.00         	0.00         	48.61        	27.12        	75.73        
4.44         	0.00         	380.75       	0.03         	0.00         	0.03         	48.66        	27.12        	75.77        
4.33         	0.08         	387.53       	0.03         	0.00         	0.03         	48.42        	27.01        	75.43        
4.52         	0.00         	383.99       	0.00         	0.00         	0.00         	48.33        	26.96        	75.29        
4.48         	0.00         	389.00       	0.00         	0.00         	0.00         	48.51        	27.06        	75.58        
4.43         	0.00         	403.71       	0.00         	0.00         	0.00         	48.41        	27.00        	75.42        
4.45         	0.00         	395.75       	0.02         	0.00         	0.02         	48.68        	27.15        	75.83        
4.58         	0.00         	391.28       	0.01         	0.00         	0.01         	48.09        	26.80        	74.89        
