ipc          	l1i_miss     	l2_miss      	l3_miss      	cache_miss   
0.45         	55.80        	56.23        	56.12        	44.32        
0.45         	55.70        	55.96        	56.01        	44.44        
0.44         	55.81        	56.02        	56.12        	44.25        
0.44         	55.82        	56.06        	56.15        	44.30        
0.45         	55.79        	56.02        	56.12        	44.49        
0.45         	55.80        	56.03        	56.13        	44.33        
0.45         	55.58        	56.20        	55.93        	44.50        
0.45         	55.63        	56.15        	55.94        	44.61        
0.42         	55.66        	55.99        	55.93        	44.41        
0.43         	55.67        	56.03        	55.97        	44.45        
0.43         	55.82        	56.08        	56.16        	44.27        
0.44         	55.64        	56.25        	55.95        	44.55        
0.45         	55.79        	56.02        	56.10        	44.32        
0.44         	55.61        	55.97        	55.95        	44.49        
0.43         	55.96        	55.86        	55.90        	44.14        
0.44         	55.56        	56.17        	55.89        	44.57        
0.41         	55.87        	56.16        	56.21        	44.19        
0.40         	55.64        	56.16        	55.97        	44.40        
0.45         	55.59        	56.20        	55.90        	44.62        
0.43         	55.81        	56.03        	56.12        	44.41        
0.44         	55.68        	56.23        	56.01        	44.46        
0.44         	55.78        	56.13        	56.10        	44.32        
0.44         	55.87        	56.17        	56.02        	44.20        
0.42         	55.68        	56.08        	55.99        	44.47        
0.44         	55.63        	55.95        	55.95        	44.49        
0.40         	55.89        	56.17        	56.23        	44.16        
0.43         	55.59        	56.16        	55.92        	44.50        
0.45         	55.80        	56.08        	56.12        	44.42        
0.42         	55.66        	56.00        	55.97        	44.44        
0.44         	55.68        	56.02        	55.99        	44.44        
0.45         	55.65        	56.28        	55.95        	44.56        
0.44         	55.75        	56.23        	56.06        	44.44        
0.44         	55.97        	56.21        	56.19        	44.21        
0.44         	55.81        	56.10        	56.15        	44.38        
0.44         	55.86        	56.09        	56.15        	44.38        
0.43         	55.73        	56.09        	56.03        	44.35        
0.41         	55.75        	56.01        	56.07        	44.55        
0.44         	55.86        	56.14        	56.20        	44.20        
0.43         	55.76        	55.95        	56.06        	44.52        
0.45         	55.70        	56.31        	56.02        	44.44        
0.45         	55.74        	55.98        	56.05        	44.29        
0.43         	55.67        	56.15        	56.00        	44.43        
0.44         	55.63        	56.00        	55.95        	44.48        
